2;Jihocesky;3103;Cesky Krumlov;20394;20485;40879
8;Moravskoslezsky;8119;Ostrava;159284;170025;329309
5;Kraj Vysocina;6112;Telc;6578;6649;13227
3;Jihomoravsky;6203;Brno;181946;198292;380238
11;Plzensky;3214;Susice;12018;12436;24454
8;Moravskoslezsky;8102;Bohumin;14618;15074;29692
5;Kraj Vysocina;6103;Humpolec;8392;8699;17091
11;Plzensky;3211;Rokycany;22953;23501;46454
5;Kraj Vysocina;6110;Pelhrimov;22107;22539;44646
12;Stredocesky;2109;Kladno;57110;60377;117487
14;Zlinsky;7203;Kromeriz;33999;36017;70016
3;Jihomoravsky;6220;Znojmo;44190;45809;89999
10;Pardubicky;5306;Lanskroun;11119;11298;22417
8;Moravskoslezsky;8101;Bilovec;12807;13195;26002
3;Jihomoravsky;6211;Mikulov;9620;10025;19645
5;Kraj Vysocina;6115;Zdar nad Sazavou;21374;21895;43269
3;Jihomoravsky;6215;Slavkov u Brna;10671;10982;21653
2;Jihocesky;3116;Vimperk;8601;8713;17314
6;Kralovehradecky;5209;Nachod;29731;31183;60914
11;Plzensky;3202;Domazlice;19126;19717;38843
14;Zlinsky;7209;Valasske Klobouky;11808;11803;23611
12;Stredocesky;2124;Slany;18972;19635;38607
12;Stredocesky;2120;Pribram;33891;35305;69196
1;Hlavni mesto Praha;1114;Praha 14;20446;21662;42108
10;Pardubicky;5310;Policka;9731;9884;19615
10;Pardubicky;5312;Svitavy;15622;16097;31719
12;Stredocesky;2116;Mnichovo Hradiste;7910;8146;16056
7;Liberecky;5107;Semily;12822;13059;25881
1;Hlavni mesto Praha;1117;Praha 17;12978;13944;26922
12;Stredocesky;2113;Lysa nad Labem;10682;11025;21707
8;Moravskoslezsky;8107;Frydlant nad Ostravici;11698;11982;23680
12;Stredocesky;2105;Cernosice;57399;60105;117504
2;Jihocesky;3114;Trebon;12066;12605;24671
4;Karlovarsky;4101;As;8253;8400;16653
10;Pardubicky;5311;Prelouc;11905;12081;23986
9;Olomoucky;7104;Lipnik nad Becvou;7576;7810;15386
11;Plzensky;3207;Nepomuk;5584;5517;11101
14;Zlinsky;7204;Luhacovice;9371;9742;19113
14;Zlinsky;7201;Bystrice pod Hostynem;7730;8045;15775
8;Moravskoslezsky;8108;Havirov;46203;48517;94720
3;Jihomoravsky;6218;Veseli nad Moravou;19123;19876;38999
12;Stredocesky;2118;Nymburk;18681;19520;38201
3;Jihomoravsky;6216;Slapanice;29915;31046;60961
6;Kralovehradecky;5213;Rychnov nad Kneznou;16595;16875;33470
1;Hlavni mesto Praha;1119;Praha 19;5538;5937;11475
11;Plzensky;3212;Stod;11153;11124;22277
6;Kralovehradecky;5203;Dvur Kralove nad Labem;13416;13730;27146
